"transcript","Aip02","Aip05","Aip06","Aip12","Aip13","Aip14","Aip15","Aip17","Aip18","Aip19","Aip20","Aip21","Aip23","Aip24","Aip25","Aip26","Aip28","Aip29","Aip30","Aip32","Aip33","Aip34","Aip35","Aip36","Unk"
"TRINITY_GG_106_c0_g1_i1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRINITY_GG_1060_c0_g1_i1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRINITY_GG_1060_c1_g1_i1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRINITY_GG_1060_c2_g1_i1",0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"TRINITY_GG_1061_c0_g1_i1",0,1,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0
"TRINITY_GG_1062_c0_g1_i1",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,2,1,0,2,1,3,2,0
"TRINITY_GG_1062_c0_g2_i1",0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0
"TRINITY_GG_1062_c1_g1_i1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRINITY_GG_1062_c2_g1_i1",0,0,1,1,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"TRINITY_GG_1063_c0_g1_i1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRINITY_GG_1064_c0_g1_i1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRINITY_GG_1065_c0_g1_i1",0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
